toolName,teClass,depth,vaf,windowSize,totalEvents,TP,FP,FN,precision,recall
RetroSom,L1,200x,0.5,0,51,0,48,51,0.0,0.0
RetroSom,L1,200x,0.5,50,51,1,21,50,0.045454545454545456,0.0196078431372549
RetroSom,L1,200x,0.5,100,51,1,18,50,0.05263157894736842,0.0196078431372549
RetroSom,L1,200x,0.5,200,51,1,16,50,0.058823529411764705,0.0196078431372549
RetroSom,L1,200x,0.5,300,51,1,16,50,0.058823529411764705,0.0196078431372549
RetroSom,L1,200x,0.5,400,51,1,16,50,0.058823529411764705,0.0196078431372549
RetroSom,L1,200x,0.5,500,51,1,14,50,0.06666666666666667,0.0196078431372549
RetroSom,L1,200x,0.5,600,51,1,5,50,0.16666666666666666,0.0196078431372549
RetroSom,L1,200x,0.5,700,51,1,5,50,0.16666666666666666,0.0196078431372549
RetroSom,L1,200x,0.5,800,51,1,5,50,0.16666666666666666,0.0196078431372549
RetroSom,L1,200x,0.5,900,51,1,5,50,0.16666666666666666,0.0196078431372549
RetroSom,L1,200x,0.5,1000,51,1,5,50,0.16666666666666666,0.0196078431372549
RetroSom,L1,200x,2.0,0,51,2,48,49,0.04,0.0392156862745098
RetroSom,L1,200x,2.0,0,51,2,48,49,0.04,0.0392156862745098
RetroSom,L1,200x,2.0,0,51,2,48,49,0.04,0.0392156862745098
RetroSom,L1,200x,2.0,50,51,6,21,45,0.2222222222222222,0.11764705882352941
RetroSom,L1,200x,2.0,50,51,6,21,45,0.2222222222222222,0.11764705882352941
RetroSom,L1,200x,2.0,50,51,6,21,45,0.2222222222222222,0.11764705882352941
RetroSom,L1,200x,2.0,100,51,6,18,45,0.25,0.11764705882352941
RetroSom,L1,200x,2.0,100,51,6,18,45,0.25,0.11764705882352941
RetroSom,L1,200x,2.0,100,51,6,18,45,0.25,0.11764705882352941
RetroSom,L1,200x,2.0,200,51,7,16,44,0.30434782608695654,0.13725490196078433
RetroSom,L1,200x,2.0,200,51,7,16,44,0.30434782608695654,0.13725490196078433
RetroSom,L1,200x,2.0,200,51,7,16,44,0.30434782608695654,0.13725490196078433
RetroSom,L1,200x,2.0,300,51,7,16,44,0.30434782608695654,0.13725490196078433
RetroSom,L1,200x,2.0,300,51,7,16,44,0.30434782608695654,0.13725490196078433
RetroSom,L1,200x,2.0,300,51,7,16,44,0.30434782608695654,0.13725490196078433
RetroSom,L1,200x,2.0,400,51,7,16,44,0.30434782608695654,0.13725490196078433
RetroSom,L1,200x,2.0,400,51,7,16,44,0.30434782608695654,0.13725490196078433
RetroSom,L1,200x,2.0,400,51,7,16,44,0.30434782608695654,0.13725490196078433
RetroSom,L1,200x,2.0,500,51,9,14,42,0.391304347826087,0.17647058823529413
RetroSom,L1,200x,2.0,500,51,9,14,42,0.391304347826087,0.17647058823529413
RetroSom,L1,200x,2.0,500,51,9,14,42,0.391304347826087,0.17647058823529413
RetroSom,L1,200x,2.0,600,51,12,5,39,0.7058823529411765,0.23529411764705882
RetroSom,L1,200x,2.0,600,51,12,5,39,0.7058823529411765,0.23529411764705882
RetroSom,L1,200x,2.0,600,51,12,5,39,0.7058823529411765,0.23529411764705882
RetroSom,L1,200x,2.0,700,51,13,5,39,0.7222222222222222,0.25
RetroSom,L1,200x,2.0,700,51,13,5,39,0.7222222222222222,0.25
RetroSom,L1,200x,2.0,700,51,13,5,39,0.7222222222222222,0.25
RetroSom,L1,200x,2.0,800,51,13,5,39,0.7222222222222222,0.25
RetroSom,L1,200x,2.0,800,51,13,5,39,0.7222222222222222,0.25
RetroSom,L1,200x,2.0,800,51,13,5,39,0.7222222222222222,0.25
RetroSom,L1,200x,2.0,900,51,13,5,39,0.7222222222222222,0.25
RetroSom,L1,200x,2.0,900,51,13,5,39,0.7222222222222222,0.25
RetroSom,L1,200x,2.0,900,51,13,5,39,0.7222222222222222,0.25
RetroSom,L1,200x,2.0,1000,51,13,5,39,0.7222222222222222,0.25
RetroSom,L1,200x,2.0,1000,51,13,5,39,0.7222222222222222,0.25
RetroSom,L1,200x,2.0,1000,51,13,5,39,0.7222222222222222,0.25
RetroSom,L1,200x,10.0,0,51,0,48,51,0.0,0.0
RetroSom,L1,200x,10.0,50,51,9,21,42,0.3,0.17647058823529413
RetroSom,L1,200x,10.0,100,51,12,18,39,0.4,0.23529411764705882
RetroSom,L1,200x,10.0,200,51,13,16,38,0.4482758620689655,0.2549019607843137
RetroSom,L1,200x,10.0,300,51,13,16,38,0.4482758620689655,0.2549019607843137
RetroSom,L1,200x,10.0,400,51,13,16,38,0.4482758620689655,0.2549019607843137
RetroSom,L1,200x,10.0,500,51,13,14,38,0.48148148148148145,0.2549019607843137
RetroSom,L1,200x,10.0,600,51,17,5,34,0.7727272727272727,0.3333333333333333
RetroSom,L1,200x,10.0,700,51,17,5,34,0.7727272727272727,0.3333333333333333
RetroSom,L1,200x,10.0,800,51,17,5,34,0.7727272727272727,0.3333333333333333
RetroSom,L1,200x,10.0,900,51,17,5,34,0.7727272727272727,0.3333333333333333
RetroSom,L1,200x,10.0,1000,51,17,5,34,0.7727272727272727,0.3333333333333333
RetroSom,L1,300x,0.5,0,75,0,70,75,0.0,0.0
RetroSom,L1,300x,0.5,50,75,0,27,75,0.0,0.0
RetroSom,L1,300x,0.5,100,75,0,21,75,0.0,0.0
RetroSom,L1,300x,0.5,200,75,0,20,75,0.0,0.0
RetroSom,L1,300x,0.5,300,75,0,20,75,0.0,0.0
RetroSom,L1,300x,0.5,400,75,0,19,75,0.0,0.0
RetroSom,L1,300x,0.5,500,75,0,17,75,0.0,0.0
RetroSom,L1,300x,0.5,600,75,0,8,75,0.0,0.0
RetroSom,L1,300x,0.5,700,75,0,7,75,0.0,0.0
RetroSom,L1,300x,0.5,800,75,0,7,75,0.0,0.0
RetroSom,L1,300x,0.5,900,75,0,7,75,0.0,0.0
RetroSom,L1,300x,0.5,1000,75,0,7,75,0.0,0.0
RetroSom,L1,300x,2.0,0,75,3,70,72,0.0410958904109589,0.04
RetroSom,L1,300x,2.0,0,75,3,70,72,0.0410958904109589,0.04
RetroSom,L1,300x,2.0,0,75,3,70,72,0.0410958904109589,0.04
RetroSom,L1,300x,2.0,50,75,11,27,64,0.2894736842105263,0.14666666666666667
RetroSom,L1,300x,2.0,50,75,11,27,64,0.2894736842105263,0.14666666666666667
RetroSom,L1,300x,2.0,50,75,11,27,64,0.2894736842105263,0.14666666666666667
RetroSom,L1,300x,2.0,100,75,12,21,63,0.36363636363636365,0.16
RetroSom,L1,300x,2.0,100,75,12,21,63,0.36363636363636365,0.16
RetroSom,L1,300x,2.0,100,75,12,21,63,0.36363636363636365,0.16
RetroSom,L1,300x,2.0,200,75,12,20,63,0.375,0.16
RetroSom,L1,300x,2.0,200,75,12,20,63,0.375,0.16
RetroSom,L1,300x,2.0,200,75,12,20,63,0.375,0.16
RetroSom,L1,300x,2.0,300,75,12,20,63,0.375,0.16
RetroSom,L1,300x,2.0,300,75,12,20,63,0.375,0.16
RetroSom,L1,300x,2.0,300,75,12,20,63,0.375,0.16
RetroSom,L1,300x,2.0,400,75,13,19,62,0.40625,0.17333333333333334
RetroSom,L1,300x,2.0,400,75,13,19,62,0.40625,0.17333333333333334
RetroSom,L1,300x,2.0,400,75,13,19,62,0.40625,0.17333333333333334
RetroSom,L1,300x,2.0,500,75,14,17,61,0.45161290322580644,0.18666666666666668
RetroSom,L1,300x,2.0,500,75,14,17,61,0.45161290322580644,0.18666666666666668
RetroSom,L1,300x,2.0,500,75,14,17,61,0.45161290322580644,0.18666666666666668
RetroSom,L1,300x,2.0,600,75,16,8,59,0.6666666666666666,0.21333333333333335
RetroSom,L1,300x,2.0,600,75,16,8,59,0.6666666666666666,0.21333333333333335
RetroSom,L1,300x,2.0,600,75,16,8,59,0.6666666666666666,0.21333333333333335
RetroSom,L1,300x,2.0,700,75,17,7,58,0.7083333333333334,0.22666666666666666
RetroSom,L1,300x,2.0,700,75,17,7,58,0.7083333333333334,0.22666666666666666
RetroSom,L1,300x,2.0,700,75,17,7,58,0.7083333333333334,0.22666666666666666
RetroSom,L1,300x,2.0,800,75,17,7,58,0.7083333333333334,0.22666666666666666
RetroSom,L1,300x,2.0,800,75,17,7,58,0.7083333333333334,0.22666666666666666
RetroSom,L1,300x,2.0,800,75,17,7,58,0.7083333333333334,0.22666666666666666
RetroSom,L1,300x,2.0,900,75,17,7,58,0.7083333333333334,0.22666666666666666
RetroSom,L1,300x,2.0,900,75,17,7,58,0.7083333333333334,0.22666666666666666
RetroSom,L1,300x,2.0,900,75,17,7,58,0.7083333333333334,0.22666666666666666
RetroSom,L1,300x,2.0,1000,75,17,7,58,0.7083333333333334,0.22666666666666666
RetroSom,L1,300x,2.0,1000,75,17,7,58,0.7083333333333334,0.22666666666666666
RetroSom,L1,300x,2.0,1000,75,17,7,58,0.7083333333333334,0.22666666666666666
RetroSom,L1,300x,10.0,0,75,0,70,75,0.0,0.0
RetroSom,L1,300x,10.0,50,75,14,27,61,0.34146341463414637,0.18666666666666668
RetroSom,L1,300x,10.0,100,75,16,21,59,0.43243243243243246,0.21333333333333335
RetroSom,L1,300x,10.0,200,75,17,20,58,0.4594594594594595,0.22666666666666666
RetroSom,L1,300x,10.0,300,75,17,20,58,0.4594594594594595,0.22666666666666666
RetroSom,L1,300x,10.0,400,75,17,19,58,0.4722222222222222,0.22666666666666666
RetroSom,L1,300x,10.0,500,75,18,17,57,0.5142857142857142,0.24
RetroSom,L1,300x,10.0,600,75,21,8,54,0.7241379310344828,0.28
RetroSom,L1,300x,10.0,700,75,21,7,54,0.75,0.28
RetroSom,L1,300x,10.0,800,75,21,7,54,0.75,0.28
RetroSom,L1,300x,10.0,900,75,21,7,54,0.75,0.28
RetroSom,L1,300x,10.0,1000,75,21,7,54,0.75,0.28
RetroSom,L1,50x,0.5,0,68,0,67,68,0.0,0.0
RetroSom,L1,50x,0.5,50,68,1,28,67,0.034482758620689655,0.014705882352941176
RetroSom,L1,50x,0.5,100,68,1,21,67,0.045454545454545456,0.014705882352941176
RetroSom,L1,50x,0.5,200,68,1,18,67,0.05263157894736842,0.014705882352941176
RetroSom,L1,50x,0.5,300,68,1,17,67,0.05555555555555555,0.014705882352941176
RetroSom,L1,50x,0.5,400,68,1,16,67,0.058823529411764705,0.014705882352941176
RetroSom,L1,50x,0.5,500,68,1,16,67,0.058823529411764705,0.014705882352941176
RetroSom,L1,50x,0.5,600,68,1,10,67,0.09090909090909091,0.014705882352941176
RetroSom,L1,50x,0.5,700,68,1,9,67,0.1,0.014705882352941176
RetroSom,L1,50x,0.5,800,68,1,9,67,0.1,0.014705882352941176
RetroSom,L1,50x,0.5,900,68,1,8,67,0.1111111111111111,0.014705882352941176
RetroSom,L1,50x,0.5,1000,68,1,8,67,0.1111111111111111,0.014705882352941176
RetroSom,L1,50x,2.0,0,68,0,67,68,0.0,0.0
RetroSom,L1,50x,2.0,0,68,0,67,68,0.0,0.0
RetroSom,L1,50x,2.0,0,68,0,67,68,0.0,0.0
RetroSom,L1,50x,2.0,50,68,10,28,59,0.2631578947368421,0.14492753623188406
RetroSom,L1,50x,2.0,50,68,10,28,59,0.2631578947368421,0.14492753623188406
RetroSom,L1,50x,2.0,50,68,10,28,59,0.2631578947368421,0.14492753623188406
RetroSom,L1,50x,2.0,100,68,11,21,58,0.34375,0.15942028985507245
RetroSom,L1,50x,2.0,100,68,11,21,58,0.34375,0.15942028985507245
RetroSom,L1,50x,2.0,100,68,11,21,58,0.34375,0.15942028985507245
RetroSom,L1,50x,2.0,200,68,12,18,57,0.4,0.17391304347826086
RetroSom,L1,50x,2.0,200,68,12,18,57,0.4,0.17391304347826086
RetroSom,L1,50x,2.0,200,68,12,18,57,0.4,0.17391304347826086
RetroSom,L1,50x,2.0,300,68,12,17,57,0.41379310344827586,0.17391304347826086
RetroSom,L1,50x,2.0,300,68,12,17,57,0.41379310344827586,0.17391304347826086
RetroSom,L1,50x,2.0,300,68,12,17,57,0.41379310344827586,0.17391304347826086
RetroSom,L1,50x,2.0,400,68,13,16,56,0.4482758620689655,0.18840579710144928
RetroSom,L1,50x,2.0,400,68,13,16,56,0.4482758620689655,0.18840579710144928
RetroSom,L1,50x,2.0,400,68,13,16,56,0.4482758620689655,0.18840579710144928
RetroSom,L1,50x,2.0,500,68,13,16,56,0.4482758620689655,0.18840579710144928
RetroSom,L1,50x,2.0,500,68,13,16,56,0.4482758620689655,0.18840579710144928
RetroSom,L1,50x,2.0,500,68,13,16,56,0.4482758620689655,0.18840579710144928
RetroSom,L1,50x,2.0,600,68,16,10,53,0.6153846153846154,0.2318840579710145
RetroSom,L1,50x,2.0,600,68,16,10,53,0.6153846153846154,0.2318840579710145
RetroSom,L1,50x,2.0,600,68,16,10,53,0.6153846153846154,0.2318840579710145
RetroSom,L1,50x,2.0,700,68,17,9,52,0.6538461538461539,0.2463768115942029
RetroSom,L1,50x,2.0,700,68,17,9,52,0.6538461538461539,0.2463768115942029
RetroSom,L1,50x,2.0,700,68,17,9,52,0.6538461538461539,0.2463768115942029
RetroSom,L1,50x,2.0,800,68,17,9,52,0.6538461538461539,0.2463768115942029
RetroSom,L1,50x,2.0,800,68,17,9,52,0.6538461538461539,0.2463768115942029
RetroSom,L1,50x,2.0,800,68,17,9,52,0.6538461538461539,0.2463768115942029
RetroSom,L1,50x,2.0,900,68,17,8,52,0.68,0.2463768115942029
RetroSom,L1,50x,2.0,900,68,17,8,52,0.68,0.2463768115942029
RetroSom,L1,50x,2.0,900,68,17,8,52,0.68,0.2463768115942029
RetroSom,L1,50x,2.0,1000,68,17,8,52,0.68,0.2463768115942029
RetroSom,L1,50x,2.0,1000,68,17,8,52,0.68,0.2463768115942029
RetroSom,L1,50x,2.0,1000,68,17,8,52,0.68,0.2463768115942029
RetroSom,L1,50x,10.0,0,68,1,67,67,0.014705882352941176,0.014705882352941176
RetroSom,L1,50x,10.0,50,68,15,28,53,0.3488372093023256,0.22058823529411764
RetroSom,L1,50x,10.0,100,68,19,21,49,0.475,0.27941176470588236
RetroSom,L1,50x,10.0,200,68,21,18,47,0.5384615384615384,0.3088235294117647
RetroSom,L1,50x,10.0,300,68,21,17,47,0.5526315789473685,0.3088235294117647
RetroSom,L1,50x,10.0,400,68,21,16,47,0.5675675675675675,0.3088235294117647
RetroSom,L1,50x,10.0,500,68,21,16,47,0.5675675675675675,0.3088235294117647
RetroSom,L1,50x,10.0,600,68,23,10,45,0.696969696969697,0.3382352941176471
RetroSom,L1,50x,10.0,700,68,23,9,45,0.71875,0.3382352941176471
RetroSom,L1,50x,10.0,800,68,23,9,45,0.71875,0.3382352941176471
RetroSom,L1,50x,10.0,900,68,24,8,44,0.75,0.35294117647058826
RetroSom,L1,50x,10.0,1000,68,24,8,44,0.75,0.35294117647058826
